"Day "	"Summary "	"Luminosity "	"LHC Status"
"Friday 26 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Thursday 25 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Wednesday 24 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Tuesday 23 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8151		
"ATLAS Runs"			
"w/ Stable Beams"	432180		
			
"Peak Stable Lumi"	"1.69x1034 cm-2 s-1"		
"Peak <Events>/BX"	49.2		
"Avg <Events>/BX"	40.6		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	605	"100.0%"	
"ATLAS Ready Del."	599.8	"99.1%"	
"ATLAS Ready Rec."	567.4	"93.8%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Monday 22 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8149		
"ATLAS Runs"			
"w/ Stable Beams"	431914		
			
"Peak Stable Lumi"	"1.67x1034 cm-2 s-1"		
"Peak <Events>/BX"	48.5		
"Avg <Events>/BX"	36.4		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	608.8	"100.0%"	
"ATLAS Ready Del."	608.8	"100.0%"	
"ATLAS Ready Rec."	593.3	"97.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Sunday 21 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8147, 8148, 8149"		
"ATLAS Runs"			
"w/ Stable Beams"	"431894, 431906, 431914"		
			
"Peak Stable Lumi"	"1.77x1034 cm-2 s-1"		
"Peak <Events>/BX"	52.4		
"Avg <Events>/BX"	43.2		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	837.8	"100.0%"	
"ATLAS Ready Del."	835.8	"99.8%"	
"ATLAS Ready Rec."	784.3	"93.6%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Saturday 20 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8144, 8146"		
"ATLAS Runs"			
"w/ Stable Beams"	"431850, 431885"		
			
"Peak Stable Lumi"	"1.89x1034 cm-2 s-1"		
"Peak <Events>/BX"	56		
"Avg <Events>/BX"	42		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	534.6	"100.0%"	
"ATLAS Ready Del."	531.3	"99.4%"	
"ATLAS Ready Rec."	516	"96.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Friday 19 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8142, 8143"		
"ATLAS Runs"			
"w/ Stable Beams"	"431810, 431812"		
			
"Peak Stable Lumi"	"1.86x1034 cm-2 s-1"		
"Peak <Events>/BX"	55		
"Avg <Events>/BX"	39.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	788.8	"100.0%"	
"ATLAS Ready Del."	786.8	"99.8%"	
"ATLAS Ready Rec."	725.2	"91.9%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Thursday 18 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Wednesday 17 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8136		
"ATLAS Runs"			
"w/ Stable Beams"	431493		
			
"Peak Stable Lumi"	"1.46x1034 cm-2 s-1"		
"Peak <Events>/BX"	54.1		
"Avg <Events>/BX"	40.2		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	396.2	"100.0%"	
"ATLAS Ready Del."	390.1	"98.5%"	
"ATLAS Ready Rec."	382.1	"96.4%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Tuesday 16 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8132		
"ATLAS Runs"			
"w/ Stable Beams"	431341		
			
"Peak Stable Lumi"	"1.72x1034 cm-2 s-1"		
"Peak <Events>/BX"	50.9		
"Avg <Events>/BX"	48.9		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	50.53	"100.0%"	
"ATLAS Ready Del."	50.53	"100.0%"	
"ATLAS Ready Rec."	49.32	"97.6%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Monday 15 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8128, 8132"		
"ATLAS Runs"			
"w/ Stable Beams"	"431241, 431341"		
			
"Peak Stable Lumi"	"1.85x1034 cm-2 s-1"		
"Peak <Events>/BX"	54.7		
"Avg <Events>/BX"	43.3		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	502.2	"100.0%"	
"ATLAS Ready Del."	500.4	"99.6%"	
"ATLAS Ready Rec."	487.5	"97.1%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Sunday 14 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8124, 8125, 8128"		
"ATLAS Runs"			
"w/ Stable Beams"	"431215, 431228, 431237"		
			
"Peak Stable Lumi"	"1.33x1034 cm-2 s-1"		
"Peak <Events>/BX"	39.3		
"Avg <Events>/BX"	28.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	215.6	"100.0%"	
"ATLAS Ready Del."	207.5	"96.2%"	
"ATLAS Ready Rec."	200.4	"93.0%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Saturday 13 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8120, 8121, 8124"		
"ATLAS Runs"			
"w/ Stable Beams"	"431178, 431179, 431215"		
			
"Peak Stable Lumi"	"1.81x1034 cm-2 s-1"		
"Peak <Events>/BX"	53.7		
"Avg <Events>/BX"	41.1		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	446.8	"100.0%"	
"ATLAS Ready Del."	444.9	"99.6%"	
"ATLAS Ready Rec."	426.9	"95.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Friday 12 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8118, 8120"		
"ATLAS Runs"			
"w/ Stable Beams"	"431037, 431178"		
			
"Peak Stable Lumi"	"1.59x1034 cm-2 s-1"		
"Peak <Events>/BX"	52.4		
"Avg <Events>/BX"	41.3		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	504	"100.0%"	
"ATLAS Ready Del."	501.9	"99.6%"	
"ATLAS Ready Rec."	476	"94.4%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Thursday 11 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8115, 8118"		
"ATLAS Runs"			
"w/ Stable Beams"	"430897, 431037"		
			
"Peak Stable Lumi"	"1.76x1034 cm-2 s-1"		
"Peak <Events>/BX"	57.9		
"Avg <Events>/BX"	42.9		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	482	"100.0%"	
"ATLAS Ready Del."	481	"99.8%"	
"ATLAS Ready Rec."	449.5	"93.3%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Wednesday 10 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8113, 8115"		
"ATLAS Runs"			
"w/ Stable Beams"	"430702, 430896, 430897"		
			
"Peak Stable Lumi"	"1.70x1034 cm-2 s-1"		
"Peak <Events>/BX"	56.1		
"Avg <Events>/BX"	46.1		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	240	"100.0%"	
"ATLAS Ready Del."	237	"98.7%"	
"ATLAS Ready Rec."	210.4	"87.7%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Tuesday 09 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8111, 8112, 8113"		
"ATLAS Runs"			
"w/ Stable Beams"	"430647, 430648, 430702"		
			
"Peak Stable Lumi"	"1.70x1034 cm-2 s-1"		
"Peak <Events>/BX"	56		
"Avg <Events>/BX"	44.2		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	766.4	"100.0%"	
"ATLAS Ready Del."	764	"99.7%"	
"ATLAS Ready Rec."	708.3	"92.4%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Monday 08 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8106, 8108"		
"ATLAS Runs"			
"w/ Stable Beams"	"430580, 430644"		
			
"Peak Stable Lumi"	"1.37x1034 cm-2 s-1"		
"Peak <Events>/BX"	50.9		
"Avg <Events>/BX"	47.3		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	134.5	"100.0%"	
"ATLAS Ready Del."	133.5	"99.3%"	
"ATLAS Ready Rec."	122	"90.8%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Sunday 07 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8102, 8103"		
"ATLAS Runs"			
"w/ Stable Beams"	"430536, 430542"		
			
"Peak Stable Lumi"	"1.35x1034 cm-2 s-1"		
"Peak <Events>/BX"	50.1		
"Avg <Events>/BX"	39		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	556.3	"100.0%"	
"ATLAS Ready Del."	556.1	"100.0%"	
"ATLAS Ready Rec."	536.3	"96.4%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Saturday 06 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8098, 8099, 8100, 8102"		
"ATLAS Runs"			
"w/ Stable Beams"	"430488, 430490, 430526, 430536"		
			
"Peak Stable Lumi"	"1.41x1034 cm-2 s-1"		
"Peak <Events>/BX"	52		
"Avg <Events>/BX"	43.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	271.3	"100.0%"	
"ATLAS Ready Del."	267.2	"98.5%"	
"ATLAS Ready Rec."	246.7	"90.9%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Friday 05 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8094		
"ATLAS Runs"			
"w/ Stable Beams"	430341		
			
"Peak Stable Lumi"	"1.34x1034 cm-2 s-1"		
"Peak <Events>/BX"	49.6		
"Avg <Events>/BX"	37.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	321.2	"100.0%"	
"ATLAS Ready Del."	315	"98.1%"	
"ATLAS Ready Rec."	306.9	"95.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Thursday 04 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8087, 8088, 8091"		
"ATLAS Runs"			
"w/ Stable Beams"	"430178, 430183, 430336"		
			
"Peak Stable Lumi"	"1.22x1034 cm-2 s-1"		
"Peak <Events>/BX"	45		
"Avg <Events>/BX"	38.4		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	470.3	"100.0%"	
"ATLAS Ready Del."	468.5	"99.6%"	
"ATLAS Ready Rec."	429	"91.2%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Wednesday 03 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8083		
"ATLAS Runs"			
"w/ Stable Beams"	430036		
			
"Peak Stable Lumi"	"8.95x1033 cm-2 s-1"		
"Peak <Events>/BX"	41.4		
"Avg <Events>/BX"	34.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	174.5	"100.0%"	
"ATLAS Ready Del."	174.5	"100.0%"	
"ATLAS Ready Rec."	167.5	"96.0%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Tuesday 02 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8081, 8083"		
"ATLAS Runs"			
"w/ Stable Beams"	"429993, 430036"		
			
"Peak Stable Lumi"	"9.08x1033 cm-2 s-1"		
"Peak <Events>/BX"	42		
"Avg <Events>/BX"	37.7		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	364.5	"100.0%"	
"ATLAS Ready Del."	363.7	"99.8%"	
"ATLAS Ready Rec."	333.7	"91.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Monday 01 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"8076, 8078, 8079"		
"ATLAS Runs"			
"w/ Stable Beams"	"429782, 429929, 429940"		
			
"Peak Stable Lumi"	"9.91x1033 cm-2 s-1"		
"Peak <Events>/BX"	45.8		
"Avg <Events>/BX"	37.9		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	260.4	"100.0%"	
"ATLAS Ready Del."	259.5	"99.7%"	
"ATLAS Ready Rec."	246	"94.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Sunday 31 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8072, 8073, 8076"		
"ATLAS Runs"			
"w/ Stable Beams"	"429697, 429716, 429782"		
			
"Peak Stable Lumi"	"9.04x1033 cm-2 s-1"		
"Peak <Events>/BX"	41.8		
"Avg <Events>/BX"	38.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	212.8	"100.0%"	
"ATLAS Ready Del."	211.8	"99.5%"	
"ATLAS Ready Rec."	192.9	"90.7%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Saturday 30 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8068, 8072"		
"ATLAS Runs"			
"w/ Stable Beams"	"429658, 429697"		
			
"Peak Stable Lumi"	"7.56x1033 cm-2 s-1"		
"Peak <Events>/BX"	44.3		
"Avg <Events>/BX"	37.3		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	357.9	"100.0%"	
"ATLAS Ready Del."	351.4	"98.2%"	
"ATLAS Ready Rec."	324.3	"90.6%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Friday 29 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8063, 8067"		
"ATLAS Runs"			
"w/ Stable Beams"	"429606, 429612"		
			
"Peak Stable Lumi"	"7.58x1033 cm-2 s-1"		
"Peak <Events>/BX"	44.4		
"Avg <Events>/BX"	36.6		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	294.4	"100.0%"	
"ATLAS Ready Del."	293.9	"99.8%"	
"ATLAS Ready Rec."	273	"92.7%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Thursday 28 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8058, 8059, 8062, 8063"		
"ATLAS Runs"			
"w/ Stable Beams"	"429469, 429470, 429603, 429606"		
			
"Peak Stable Lumi"	"6.70x1033 cm-2 s-1"		
"Peak <Events>/BX"	48.9		
"Avg <Events>/BX"	38.3		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	161.7	"100.0%"	
"ATLAS Ready Del."	160.7	"99.4%"	
"ATLAS Ready Rec."	146.9	"90.9%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Wednesday 27 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8057, 8058"		
"ATLAS Runs"			
"w/ Stable Beams"	"429452, 429469"		
			
"Peak Stable Lumi"	"4.85x1033 cm-2 s-1"		
"Peak <Events>/BX"	35.4		
"Avg <Events>/BX"	30.1		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	15.75	"100.0%"	
"ATLAS Ready Del."	14.95	"94.9%"	
"ATLAS Ready Rec."	14.61	"92.8%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Tuesday 26 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Monday 25 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8043, 8046"		
"ATLAS Runs"			
"w/ Stable Beams"	"429137, 429142"		
			
"Peak Stable Lumi"	"6.82x1033 cm-2 s-1"		
"Peak <Events>/BX"	49.8		
"Avg <Events>/BX"	43		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	47.9	"100.0%"	
"ATLAS Ready Del."	47.5	"99.2%"	
"ATLAS Ready Rec."	39.15	"81.7%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Sunday 24 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Saturday 23 Jul"			
"LHC Fills"			
"w/ Stable Beams"	8033		
"ATLAS Runs"			
"w/ Stable Beams"	429027		
			
"Peak Stable Lumi"	"5.39x1033 cm-2 s-1"		
"Peak <Events>/BX"	39.3		
"Avg <Events>/BX"	35.5		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	143.4	"100.0%"	
"ATLAS Ready Del."	143.2	"99.8%"	
"ATLAS Ready Rec."	137.8	"96.1%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Friday 22 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8027, 8030"		
"ATLAS Runs"			
"w/ Stable Beams"	"428855, 429018"		
			
"Peak Stable Lumi"	"5.41x1033 cm-2 s-1"		
"Peak <Events>/BX"	52.8		
"Avg <Events>/BX"	40.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	103.2	"100.0%"	
"ATLAS Ready Del."	101.8	"98.6%"	
"ATLAS Ready Rec."	93.4	"90.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Thursday 21 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8022, 8023"		
"ATLAS Runs"			
"w/ Stable Beams"	"428776, 428777"		
			
"Peak Stable Lumi"	"2.68x1033 cm-2 s-1"		
"Peak <Events>/BX"	32.3		
"Avg <Events>/BX"	28.5		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	32.62	"100.0%"	
"ATLAS Ready Del."	32.3	"99.0%"	
"ATLAS Ready Rec."	31.49	"96.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Wednesday 20 Jul"			
"LHC Fills"			
"w/ Stable Beams"	"8017, 8018, 8019, 8020"		
"ATLAS Runs"			
"w/ Stable Beams"	"428648, 428700, 428747, 428759, 428770"		
			
"Peak Stable Lumi"	"2.86x1033 cm-2 s-1"		
"Peak <Events>/BX"	34.5		
"Avg <Events>/BX"	31.4		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	43.5	"100.0%"	
"ATLAS Ready Del."	37.2	"85.5%"	
"ATLAS Ready Rec."	33.88	"77.9%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Tuesday 19 Jul"			
"LHC Fills"			
"w/ Stable Beams"	8016		
"ATLAS Runs"			
"w/ Stable Beams"	428648		
			
"Peak Stable Lumi"	"2.66x1033 cm-2 s-1"		
"Peak <Events>/BX"	32.1		
"Avg <Events>/BX"	30.8		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	20.14	"100.0%"	
"ATLAS Ready Del."	19.98	"99.2%"	
"ATLAS Ready Rec."	19.54	"97.0%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Monday 18 Jul"			
"LHC Fills"			
